Time,Heading angle,CoG position/X,CoG position/Y,CoG position/Yaw,CoG Acceleration/X,CoG Acceleration/Y,Speed/X,Speed/Y,Slip angle
s,бу,m,m,бу,m/s?,m/s?,km/h,km/h,бу
19.302,-271.182,-189.582,-91.6644,88.0632,-0.014917,0.23069,12.4728,0.16442,0.755095
19.402,-270.912,-189.576,-91.318,88.2489,-0.0396655,0.110065,12.463,0.182661,0.839576
19.5025,-270.745,-189.571,-90.9708,88.4409,-0.79459,0.0901528,12.3683,0.175747,0.81403
19.602,-270.529,-189.567,-90.632,88.6319,-0.404682,0.168256,12.1488,0.178004,0.839366
19.7015,-270.257,-189.565,-90.2994,88.8368,-0.882107,0.132706,11.9199,0.18864,0.906541
19.8015,-270.034,-189.564,-89.9714,89.0424,-0.8902,0.102841,11.6911,0.188584,0.924011
19.9015,-269.839,-189.564,-89.6498,89.2445,-0.9037,0.0964265,11.4609,0.183317,0.916261
20.002,-269.642,-189.566,-89.3331,89.4437,-0.376942,0.0986064,11.2286,0.179264,0.914537
20.1015,-269.446,-189.568,-89.026,89.6368,-0.926253,0.0924694,10.9969,0.176123,0.917447
20.202,-269.253,-189.572,-88.7223,89.8279,-0.360436,0.0894372,10.7635,0.172717,0.919215
20.3015,-269.067,-189.576,-88.428,90.013,-0.941472,0.0831972,10.5318,0.169209,0.920362
20.402,-268.884,-189.581,-88.1373,90.1959,-0.336663,0.0783287,10.3001,0.165423,0.920013
20.544,-268.736,-189.59,-87.7375,90.4353,-0.311421,0.00187501,9.97644,0.144221,0.828178
20.644,-268.643,-189.596,-87.4636,90.583,-0.297524,0.0508141,9.7523,0.131842,0.774507
20.744,-268.497,-189.603,-87.1958,90.726,-0.279552,0.0645809,9.5324,0.129246,0.776743
20.844,-268.35,-189.61,-86.9331,90.8662,-0.0558211,0.0634666,9.43318,0.129034,0.783617
20.944,-268.211,-189.618,-86.6714,91.0059,-0.0269922,0.0629155,9.41759,0.128695,0.782865
21.0435,-268.104,-189.626,-86.4112,91.1436,0.0693838,-0.0451451,9.42257,0.123676,0.75195
21.1435,-268.307,-189.634,-86.149,91.2459,0.203543,-0.095134,9.47398,0.0739248,0.447112
21.2445,-268.505,-189.642,-85.882,91.2953,0.367109,-0.0232622,9.5743,0.0332937,0.199307
21.3435,-268.471,-189.649,-85.6166,91.3369,0.63884,0.0429385,9.75079,0.0326299,0.191732
21.4435,-268.39,-189.656,-85.342,91.3797,1.00404,0.0351099,10.0458,0.040327,0.22999
21.544,-268.342,-189.664,-85.0559,91.4244,1.40857,0.0254006,10.4818,0.0427104,0.23346
21.644,-268.303,-189.673,-84.757,91.4712,1.7738,0.0294485,11.0581,0.0435665,0.225736
21.7435,-268.257,-189.683,-84.4422,91.5203,2.05221,0.0362383,11.7443,0.0456599,0.222768
21.8435,-268.205,-189.693,-84.1054,91.5726,2.24475,0.0409307,12.5205,0.0485173,0.222047
21.944,-268.151,-189.705,-83.7443,91.6285,2.40584,0.045248,13.3621,0.0514541,0.220669
22.0445,-268.093,-189.717,-83.359,91.6881,2.51088,0.0503359,14.2544,0.0543612,0.218555
